Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nepal,NPL,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,37441
Nepal,NPL,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,37445
Nepal,NPL,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,37729.584
Nepal,NPL,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,37989.328
Nepal,NPL,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,38381.798
Nepal,NPL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,38666.261
Nepal,NPL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,39478.703
Nepal,NPL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,39752.701
Nepal,NPL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,40086.468
Nepal,NPL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,40378.167
Nepal,NPL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,40561.921
Nepal,NPL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,40876.453
Nepal,NPL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,41266
Nepal,NPL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,41260
Nepal,NPL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,41400
Nepal,NPL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,41520
Nepal,NPL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,41660
Nepal,NPL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,41850
Nepal,NPL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,42020
Nepal,NPL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,42180
Nepal,NPL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,42270
Nepal,NPL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,42410
Nepal,NPL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,42590
Nepal,NPL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,42491
Nepal,NPL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,42366
Nepal,NPL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,42254
Nepal,NPL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,42142
Nepal,NPL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,42030
Nepal,NPL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,41918
Nepal,NPL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,41806
Nepal,NPL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,41694
Nepal,NPL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,41582
Nepal,NPL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,41470
Nepal,NPL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,41444
Nepal,NPL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,41408
Nepal,NPL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,41382
Nepal,NPL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,41346
Nepal,NPL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,41320
Nepal,NPL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,41164
Nepal,NPL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,41138
Nepal,NPL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,41102
Nepal,NPL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,41066
Nepal,NPL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,41030
Nepal,NPL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,40850
Nepal,NPL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,40700
Nepal,NPL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,40550
Nepal,NPL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,40400
Nepal,NPL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,40250
Nepal,NPL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,40090
Nepal,NPL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,39940
Nepal,NPL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,39530
Nepal,NPL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,38220
Nepal,NPL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,37020
Nepal,NPL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,37020
Nepal,NPL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,35670
Nepal,NPL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,35670
Nepal,NPL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,35670
Nepal,NPL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,35530
Nepal,NPL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,35530
Nepal,NPL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,35530
Nepal,NPL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,35630
Nepal,NPL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,35530
Nepal,NPL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,35530
Nepal,NPL,2023,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1185908615277
Nepal,NPL,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1213812347401
Nepal,NPL,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3199051273108
Nepal,NPL,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.5011008022323
Nepal,NPL,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.7748852459016
Nepal,NPL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.9733247296826
Nepal,NPL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.5400788280433
Nepal,NPL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7312179979072
Nepal,NPL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9640516219044
Nepal,NPL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1675388908266
Nepal,NPL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2957244506453
Nepal,NPL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5151398674573
Nepal,NPL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7868852459016
Nepal,NPL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.782699686083
Nepal,NPL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8803627485176
Nepal,NPL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9640739448901
Nepal,NPL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.0617370073247
Nepal,NPL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.1942797349145
Nepal,NPL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3128705964423
Nepal,NPL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.424485524939
Nepal,NPL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4872689222183
Nepal,NPL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5849319846529
Nepal,NPL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.7104987792117
Nepal,NPL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.6414370422044
Nepal,NPL,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.6265734265734
Nepal,NPL,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5482517482517
